Provinsi;Kab/Kota;Prevalensi Balita Stunting (%);Kategori Prevalensi Stunting Berdasarkan WHO;Jumlah Penduduk (jiwa);Tingkat Kemiskinan (%);Proporsi Keluarga yang Memiliki Akses Terhadap Fasilitas Sanitasi yang Layak (%);Persentase Sarana Air Minum Memenuhi Syarat (%);Proporsi Desa/Kelurahan Stop BAB Sembarangan (%);Jumlah Rumah Sakit;Jumlah Puskesmas;Jumlah Posyandu;Jumlah Dokter;Jumlah Bidan;Jumlah Perawat
JATIM;Kabupaten Lamongan;20.5;Medium;1.204.437;13.9;100;74.8;100;14;36;1.443;830;1.175;1.960
JATIM;Kabupaten Lumajang;30.1;High;1.047.482;10.1;100;75.6;100;8;25;771;352;724;1.466
JATIM;Kabupaten Madiun;15.9;Low;685.490;11.9;100;62.9;100;8;27;726;224;478;767
JATIM;Kabupaten Magetan;17.2;Low;636.148;10.7;99.8;87.7;100;6;22;802;267;625;990
JATIM;Kabupaten Malang;25.7;Medium;2.637.160;10.5;97.7;59.7;39.7;29;42;2.010;1.127;1.267;3.519
JATIM;Kabupaten Mojokerto;27.4;Medium;1.136.879;10.6;96.4;93.5;74;19;26;1.138;566;699;1.482
JATIM;Kabupaten Nganjuk;25.3;Medium;1.060.086;11.9;100;44.3;100;3;21;990;255;825;1.035
JATIM;Kabupaten Ngawi;16.2;Low;840.327;15.6;100;17.7;100;5;24;1.106;479;670;1.313
JATIM;Kabupaten Pacitan;22.7;Medium;557.164;15.1;100;79.6;100;3;25;650;144;404;673
JATIM;Kabupaten Pamekasan;38.7;High;898.130;15.3;100;64.6;100;8;21;556;267;549;957
JATIM;Kabupaten Pasuruan;21.5;Medium;1.650.256;9.7;87.7;41.7;26;17;35;1.495;508;1.039;1.658
JATIM;Kabupaten Ponorogo;20;Medium;877.121;10.3;100;86.8;100;7;33;993;428;725;1.529
JATIM;Kabupaten Probolinggo;23.3;Medium;1.182.298;18.9;78.3;89;25.2;6;36;1.041;358;976;997
JATIM;Kabupaten Sampang;17.2;Low;1.001.140;23.8;100;100;100;3;22;574;155;819;690
JATIM;Kabupaten Sidoarjo;14.8;Low;2.321.549;5.9;97.5;72.5;42.2;27;28;1.487;1.757;1.307;2.792
JATIM;Kabupaten Situbondo;23.7;Medium;689.361;12.6;70.7;90.4;61;4;23;720;200;752;904
JATIM;Kabupaten Sumenep;29;Medium;1.096.701;20.5;93.2;80.1;68.6;6;29;544;192;1.172;1.030
JATIM;Kabupaten Trenggalek;18.1;Low;699.526;12.1;100;81.9;100;9;23;780;222;432;989
JATIM;Kabupaten Tuban;25.1;Medium;1.182.070;16.3;88.6;95.5;28.7;10;36;1.170;357;736;1.184
JATIM;Kabupaten Tulungagung;13.1;Low;1.047.645;7.5;99;70.8;86.3;13;31;1.145;465;999;2.033
JATIM;Kota Batu;15;Low;211.225;4.1;100;52.2;100;5;5;180;281;152;521
JATIM;Kota Blitar;12.9;Low;143.840;7.9;100;74.4;100;5;3;166;278;180;614
JATIM;Kota Kediri;15.7;Low;291.256;7.8;100;92.5;100;9;10;301;809;520;1.074
JATIM;Kota Madiun;12.4;Low;177.972;5.1;99.9;100;100;6;7;245;468;316;1.240
JATIM;Kota Malang;25.7;Medium;880.169;4.6;100;96.4;100;13;16;497;2.887;862;3.265
JATIM;Kota Mojokerto;14;Low;131.216;6.4;100;53.1;100;5;6;169;433;213;895
JATIM;Kota Pasuruan;22.1;Medium;203.244;6.9;95.9;47.8;52.9;2;8;271;212;244;511
JATIM;Kota Probolinggo;19;Low;241.423;7.4;96.3;90.7;48.3;2;6;153;377;304;571
JATIM;Kota Surabaya;28.9;Medium;2.918.543;5.2;98.9;70.1;48.7;48;62;1.760;7.484;1.900;10.956
DI YOGYAKARTA;Kabupaten Bantul;19.1;Low;998.647;14;100;91.3;100;17;27;754;584;485;1.275
DI YOGYAKARTA;Kabupaten Gunungkidul;20.6;Medium;758.168;17.7;100;70.6;100;8;30;1.374;274;332;788
DI YOGYAKARTA;Kabupaten Kulon Progo;14.9;Low;443.283;18.4;100;34.1;100;9;21;698;255;324;831
DI YOGYAKARTA;Kabupaten Sleman;16;Low;1.136.474;8.6;100;23;100;28;25;1.035;2.863;682;3.748
DI YOGYAKARTA;Kota Yogyakarta;17.1;Low;376.324;7.6;100;58.9;100;21;18;445;1.271;382;2.987
BALI;Kabupaten Badung;8.7;Low;549.300;2.6;100;65.4;100;10;13;563;1.273;900;1.903
BALI;Kabupaten Bangli;11.8;Low;262.500;5.1;92.2;97.8;20.8;3;12;277;299;350;743
BALI;Kabupaten Buleleng;8.9;Low;806.600;6.1;95.7;70.1;22.3;9;20;555;491;701;1.124
BALI;Kabupaten Gianyar;5.1;Low;519.500;4.9;99.9;95.5;77.1;7;13;566;547;586;1.140
BALI;Kabupaten Jembrana;14.3;Low;321.900;5.1;98.8;50.2;23.5;4;10;332;240;368;397
BALI;Kabupaten Karangasem;22.9;Medium;500.800;6.8;91.3;74;28.2;3;12;313;230;367;619
BALI;Kabupaten Klungkung;19.4;Low;210.100;5.6;97.2;94;81.4;5;9;306;282;384;527
BALI;Kabupaten Tabanan;9.2;Low;465.300;5.1;98.1;79.6;28.6;10;20;541;511;706;856
BALI;Kota Denpasar;9;Low;726.600;3;100;90;97.7;21;11;316;4.254;1.010;4.188
NTB;Kabupaten Bima;30.4;High;50.892;31.9;64.4;55.6;78.1;2;21;653;118;534;649
NTB;Kabupaten Dompu;31.5;High;265.084;12.5;88.7;70.8;70.4;2;10;424;69;586;592
NTB;Kabupaten Lombok Barat;28.9;Medium;730.604;14.4;100;70.1;100;2;20;869;226;465;739
NTB;Kabupaten Lombok Tengah;32.1;High;984.756;13.4;97.6;93.7;100;5;28;1.403;192;804;1.328
NTB;Kabupaten Lombok Timur;37.6;High;1.244.181;15.3;100;60.5;100;7;35;1.930;278;1.476;2.143
NTB;Kabupaten Lombok Utara;34;High;228.813;27;99.2;68.4;48.8;1;8;366;92;280;438
NTB;Kabupaten Sumbawa;29.7;Medium;475.770;13.9;95.5;64.5;69.1;3;26;634;218;914;1.252
NTB;Kabupaten Sumbawa Barat;23.6;Medium;159.980;13.4;100;97.6;100;1;9;195;54;346;397
NTB;Kota Bima;23.7;Medium;183.790;41.1;96.2;45.5;43.9;4;7;144;93;223;386
NTB;Kota Mataram;25.3;Medium;516.573;8.6;100;74.6;100;16;11;269;814;642;2.586
NTT;Kabupaten Ende;27.2;Medium;270.763;24.5;79.5;50;99.6;3;26;70;40;711;789
NTT;Kabupaten Rote Ndao;40.1;Very High;143.764;36;82.3;53.2;27.7;1;12;24;50;324;277
KALBAR;Kabupaten Bengkayang;26.8;Medium;262.205;6.5;73.7;75.2;8.9;2;17;33;87;413;655
KALBAR;Kabupaten Kapuas Hulu;28.9;Medium;270.058;8.9;75.3;76.1;13.1;3;23;90;73;456;662
KALBAR;Kabupaten Kayong Utara;24.5;Medium;115.291;9.3;63.6;83.3;2.3;1;10;40;36;142;214
KALBAR;Kabupaten Ketapang;23.6;Medium;525.879;10.1;59;60.9;3.4;3;24;78;126;687;990
KALBAR;Kabupaten Kubu Raya;40.3;Very High;587.822;4.3;87.7;59.5;13.6;4;20;99;157;489;610
KALBAR;Kabupaten Landak;27.8;Medium;383.409;11;61.4;72.7;0;1;16;166;61;360;555
KALBAR;Kabupaten Melawi;37.2;High;212.844;12;60.6;94.4;50.3;4;11;118;64;261;418
KALBAR;Kabupaten Mempawah;29.7;Medium;267.404;5.2;81.7;0;10.4;1;14;33;104;225;299
KALBAR;Kabupaten Sambas;32.6;High;542.559;7.6;85.1;93.3;51.8;4;28;140;117;497;709
KALBAR;Kabupaten Sanggau;26.2;Medium;478.729;4.5;66.1;68.2;3;4;19;439;91;369;553
KALBAR;Kabupaten Sekadau;26.5;Medium;202.817;6.3;73.3;77.8;24.1;1;12;0;54;273;374
KALBAR;Kabupaten Sintang;38.2;High;425.863;9.3;69.9;53.4;1.2;6;20;201;125;563;1.000
KALBAR;Kota Pontianak;24.4;Medium;658.782;4.6;84.6;0;27.6;14;23;175;540;431;2.163
KALBAR;Kota Singkawang;22.3;Medium;229.275;4.8;70.8;52.6;30.8;7;10;8;181;254;938
KALSEL;Kabupaten Balangan;32.3;High;132.210;6.1;90.3;76.9;53.5;1;12;127;27;244;250
KALSEL;Kabupaten Banjar;40.2;Very High;572.110;3.2;83.1;45.8;32.8;5;25;258;292;606;1.102
KALSEL;Kabupaten Barito Kuala;32.4;High;316.960;5.1;65;50;14.4;1;19;50;71;334;300
KALSEL;Kabupaten Hulu Sungai Selatan;29.1;Medium;229.960;5;84.9;0;31.1;5;21;221;162;323;684
KALSEL;Kabupaten Hulu Sungai Tengah;29.6;Medium;260.750;6.4;82.3;79.3;21.9;1;19;304;93;338;594
KALSEL;Kabupaten Hulu Sungai Utara;20.9;Medium;228.830;7.1;49.2;85;47.9;2;13;267;88;341;424
KALSEL;Kabupaten Kotabaru;21.8;Medium;329.480;5.1;74.4;84.3;13.9;1;28;124;86;107;462
KALSEL;Kabupaten Tabalong;28.2;Medium;256.900;6.3;100;85.5;100;2;18;204;65;277;437
KALSEL;Kabupaten Tanah Bumbu;18.7;Low;328.150;5.8;75.5;74.5;61.7;3;14;123;170;653;567
KALSEL;Kabupaten Tanah Laut;31;High;354.340;4.5;57.9;87.9;9.6;5;19;157;176;439;599
KALSEL;Kabupaten Tapin;33.5;High;191.800;3.6;84.7;87.9;60.7;2;13;126;82;292;374
KALSEL;Kota Banjarbaru;19;Low;258.750;4.6;100;99.4;50;9;10;6;259;314;770
KALSEL;Kota Banjarmasin;27.8;Medium;662.320;5.3;89.4;98.2;4.8;12;26;129;844;530;2.185
KALTENG;Kabupaten Kotawaringin Timur;32.5;High;432.283;6.3;55.7;50;11.4;3;21;67;143;418;835
KALTENG;Kota Palangka Raya;25.2;Medium;298.954;3.6;83.8;88.4;3.3;9;11;19;461;408;1.232
KALTIM;Kabupaten Berau;25.7;Medium;253.979;5.4;91.4;57.9;64.5;2;21;140;156;339;666
GORONTALO;Kabupaten Boalemo;29.8;Medium;147.038;21.6;79.2;88.9;19.5;2;11;105;70;81;334
GORONTALO;Kabupaten Bone Bolango;25.1;Medium;158.212;16.3;80.9;100;9.7;2;20;111;118;318;399
GORONTALO;Kabupaten Gorontalo;28.3;Medium;375.902;17.9;82;39.4;10.7;4;21;399;265;136;464
GORONTALO;Kabupaten Gorontalo Utara;29.5;Medium;112.303;17.2;80.6;100;16.3;1;15;174;23;110;125
GORONTALO;Kabupaten Pohuwato;34.6;High;152.369;19.2;83.6;98;5.8;1;16;16;61;237;329
GORONTALO;Kota Gorontalo;26.5;Medium;218.917;5.9;84.6;100;16;6;10;128;200;326;838
SULSEL;Kabupaten Jeneponto;37.9;High;367.160;14.3;96.9;94.5;100;2;19;545;109;262;252
SULSEL;Kabupaten Kepulauan Selayar;27.7;Medium;137.974;12.3;90.2;85.6;100;2;14;117;64;649;389
SULSEL;Kabupaten Luwu Utara;19.5;Low;325.052;13.3;100;81.03;100;3;16;281;81;393;507
SULTRA;Kabupaten Kolaka;26.5;Medium;241.954;13.8;92;2;50;2;14;143;80;164;315
SULTENG;Kabupaten Banggai;17.8;Low;385.891;7.8;79.3;97.5;35.6;3;27;392;135;736;854
SULTENG;Kabupaten Banggai Kepulauan;22.1;Medium;119.149;13.7;86.2;100;31.3;2;13;141;58;294;338
SULTENG;Kabupaten Banggai Laut;20.8;Medium;77.384;14.2;61.5;78.8;1.5;1;10;34;40;266;308
SULTENG;Kabupaten Buol;23;Medium;167.659;14.1;100;79.1;81.7;2;11;58;48;242;388
SULTENG;Kabupaten Donggala;22.3;Medium;306.752;16.7;55.8;96.4;18.6;2;18;199;89;437;379
SULTENG;Kabupaten Morowali;22.2;Medium;124.660;13.8;91.2;100;54.1;2;10;140;100;434;447
SULTENG;Kabupaten Morowali Utara;19.9;Low;132.991;13.9;89.6;0;44;1;14;144;76;314;310
SULTENG;Kabupaten Parigi Moutong;25.3;Medium;504.391;15.3;72;0;31.8;4;23;227;142;743;719
SULTENG;Kabupaten Poso;19.7;Low;264.981;15.9;89.4;30.3;41.3;3;24;167;120;445;703
SULTENG;Kabupaten Sigi;31.1;High;242.023;13.1;80.7;28.8;37.3;1;19;146;75;416;354
SULTENG;Kabupaten Tojo Una-Una;22.9;Medium;156.163;16.6;68.9;72.1;8.9;3;16;45;60;383;592
SULTENG;Kabupaten Toli-Toli;21.1;Medium;238.818;13.5;80.9;80.3;13.6;2;15;128;78;341;676
SULTENG;Kota Palu;18;Low;400.001;7.2;61.7;100;43.5;13;14;114;596;685;1.899
PAPUA;Kabupaten Jayapura;29.5;Medium;136.147;12.1;85.4;68.2;31.9;2;21;48;105;239;383

